proceso,fortalezas_interna,oportunidades_mejora_interna,hallazgos_interna,no_conformidades_interna,recomendacion_desempeno_interna,fortalezas_externa,oportunidades_mejora_externa,hallazgos_externa,no_conformidades_externa,recomendacion_desempeno_externa
"GESTIÓN DE PORTAFOLIO INSTITUCIONAL. CREACIÓN, MODIFICACIÓN Y CIERRE DE PROGRAMAS ACADÉMICOS.",,,,,,"La gestión del portafolio Institucional, incluyendo la creación, modificación y cierre de programas académicos, así como la liberación de programas y la gestión de salidas no conformes el cual ha permitido fortalecer la confiabilidad de los registros de sus programas y asegurar que estos cumplan. | Todos los documentos curriculares, micro curriculares, sus mallas académicas, sus soportes regulatorios, sus actas y estudios académicos se encuentran actualizados y controlados el cual ha permitido garantizar la trazabilidad, la integridad y la coherencia académica del Portafolio Institucional. | Los canales formales de comunicación establecidos por el politécnico para asegurar que la información asociada al portafolio institucional sea revisada y aprobada por los equipos responsables el cual ha permitido garantizar una coherencia técnica y favorece con la correcta articulación que se maneja entre sedes, modalidades institucionales y facultades. | El seguimiento permanente al ciclo de vida del programa académico que cuenta con indicadores, planes de acción y bitácoras ya que permite evaluar avances sobre solicitudes en trámite, fechas críticas, tiempos de respuesta, estado de renovaciones y cumplimiento de requisitos regulatorios. | El proceso de Gestión del Portafolio Institucional, específicamente con la actividad de administración de información para solicitudes de creación, modificación y/o renovación de programas, el cual ha permitido el control y la trazabilidad en el cumplimiento de los múltiples proyectos llegados al politécnico.",La integración de la gestión de riesgos de SST en las actividades administrativas con el propósito de evaluar y controlar riesgos por Aglomeración de usuarios.,,NC 5 de 5: ISO 14001:2015. 6.1.2. La organización no identifica aspectos ambientales desde una perspectiva de ciclo de vida. Evidencia: En la matriz de aspectos ambientales de 2025 no se evidencia la identificación de aspectos para las fases de diseño y cierre del programa académico de acuerdo con lo establecido en el manual del SIGSIS.,"El seguimiento permanente al ciclo de vida del programa académico que cuenta con indicadores, planes de acción y bitácoras ya que permite evaluar avances sobre solicitudes en trámite, fechas críticas, tiempos de respuesta, estado de renovaciones y cumplimiento de requisitos regulatorios."
GESTIÓN DE PORTAFOLIO INSTITUCIONAL. DISEÑO DE CONTENIDO VIRTUAL.,,,,,,,Mejorar la comunicación con docentes sobre requerimientos de diseño virtual.,,,
GESTIÓN DE RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,"Se creó el Centro de Recursos y Experiencias para el Aprendizaje – CREA, integrado por la Biblioteca, la Editorial, el Centro de Medios Audiovisuales y el Laboratorio de Experiencias Inmersivas. Más que ofrecer servicios para los estudiantes, este espacio impulsa la creación de experiencias de aprendizaje únicas, apoyadas en recursos innovadores que fortalecen los procesos de enseñanza y aprendizaje. Su aporte genera un diferencial significativo y un impacto positivo en la calidad de las clases impartidas por los profesores. | Se resalta el primer lugar en los Premios Latam Digital 2025 en la categoría Mejor Estrategia de Transformación Digital en Instituciones Educativas del CREA, este reconocimiento reafirma el impacto de las estrategias institucionales para impulsar una educación digital de calidad, inclusiva y con proyección a futuro para toda la comunidad. | Se destacan las diversas iniciativas desarrolladas por la Biblioteca, en especial aquellas con impacto social, como el trabajo conjunto con la Fundación Síndrome de Down. Asimismo, se resalta su amplio catálogo de recursos en línea, disponible no solo para estudiantes, sino también para colaboradores, graduados, investigadores y público externo, incluyendo libros para descargar y audiolibros, que resultan de gran utilidad para personas con discapacidad visual o auditiva. Igualmente, el incremento de convenios en Bogotá y Medellín ha favorecido la creación de sinergias y el trabajo colaborativo entre diferentes instituciones, ampliando el alcance y la proyección de sus servicios. | En el Centro de Medios Audiovisuales – CMA se destaca la gestión del conocimiento, donde todos los colaboradores participan en diversas actividades desde distintos frentes, con el propósito de fortalecer sus competencias y garantizar la continuidad del servicio en caso de contingencias, evitando afectaciones a los usuarios. Asimismo, se resalta la contratación de egresados del Poli, lo que genera un impacto positivo en la empleabilidad de nuestros estudiantes y fortalece el vínculo con la comunidad institucional. | La Editorial y Publicaciones desarrolla diversas iniciativas que fortalecen la visibilidad y proyección de la Institución, participando en escenarios de alto impacto como la Feria del Libro y ofreciendo un amplio catálogo de libros y revistas disponibles para descarga. En alianza con el proceso de Mercadeo, se implementó además la instalación de stands con libros en aeropuertos, donde el público puede tomar un ejemplar para leer durante su espera o llevarlo sin costo. Estas acciones no solo posicionan al Poli como un referente cultura l y académico, sino que también fomentan el acceso libre al conocimiento, la lectura y la cultura, generando un impacto positivo en la comunidad y en la imagen institucional. | El Laboratorio de Experiencias de Aprendizaje Inmersivas – LEAI es un centro de recursos que, más que ofrecer contenidos, crea experiencias innovadoras para el fortalecimiento de la enseñanza y el aprendizaje. Ha logrado cobertura en las tres facultades y cuenta con 56 proyectos, entre finalizados y en desarrollo. A través de ambientes inmersivos, MI Books y una completa caja de herramientas, pone a disposición un amplio abanico de recursos didácticos que generan un impacto positivo en docentes y estudiantes. Además, su alcance incluye a poblaciones con alguna dificultad, como los recorridos 360 diseñados para personas con movilidad reducida, promoviendo así la inclusión y el acceso equitativo al conocimiento.","Se recomienda que el CMA fortalezca el uso de herramientas de mejora, tales como la actualización y formalización de la documentación, la gestión de riesgos, la formulación de indicadores y otros mecanismos de control, con el objetivo de garantizar la eficiencia, trazabilidad y calidad de sus procesos. La implementación efectiva de estas herramientas facilitará la identificación de oportunidades de mejora, la prevención de incidentes y la toma de decisiones informadas. Adicional, resulta prioritario generar y mantener actualizada la documentación asociada a las hojas de seguridad o vida útil de los equipos y al mantenimiento y limpieza de estos. | De manera general, se sugiere establecer un control para los pares ciegos en relación con los derechos de autor, definiendo la mejor forma de blindar que la información revisada no sea utilizada para fines distintos a los establecidos. | Se recomienda la revisión y documentación de las necesidades y expectativas de los estudiantes, con el fin de asegurar que los recursos ofrecidos realmente respondan a sus intereses y generen un impacto positivo en su proceso de aprendizaje. | Finalmente, se propone revisar la Política de Propiedad Intelectual, actualmente adscrita al proceso de Investigación, con el propósito de validar su pertinencia y cobertura a nivel institucional.",,,"Se recomienda que el CMA fortalezca el uso de herramientas de mejora, tales como la actualización y formalización de la documentación, la gestión de riesgos, la formulación de indicadores y otros mecanismos de control, con el objetivo de garantizar la eficiencia, trazabilidad y calidad de sus procesos. La implementación efectiva de estas herramientas facilitará la identificación de oportunidades de mejora, la prevención de incidentes y la toma de decisiones informadas.",,,,,
GESTIÓN DE RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN. BIBLIOTECA. SEDE MEDELLÍN Y BOGOTÁ,,,,,,,"Para incrementar la participación estudiantil en los clubes de lectura, conviene explorar alianzas estratégicas con otras bibliotecas académicas o públicas que también promuevan estos espacios. Esto favorecerá la diversidad temática y permitirá dinamizar los encuentros, generando mayor interés y fortaleciendo la competencia lectora de los estudiantes. | Es importante evaluar la posibilidad de generar alertas automáticas en el sistema académico al momento de la matrícula semestral, en lugar de esperar hasta el proceso de grado, para advertir sobre libros pendientes por devolución. Esto mejora la recuperación oportuna del material bibliográfico y previene la acumulación de casos morosos. | Es importante construir una matriz de control para el seguimiento sistemático de las quejas recibidas, incorporando campos como fecha de recepción, descripción, área responsable, estado de respuesta, fecha de cierre y cumplimiento de los Acuerdos de Nivel de Servicio (ANS). Esta herramienta facilita la trazabilidad y el análisis de las respuestas, fortalece la capacidad institucional para atender oportunamente las inquietudes de los usuarios y permite identificar tendencias que alimenten procesos de mejora continua. | Tener en cuenta la medición desagregada de indicadores por sede, esto les permitirá visualizar resultados diferenciados por ciudad, facilitando el análisis y la toma de decisiones más precisas para cada ubicación. | Para los libros identificados con hongos en la sede Medellín, es importante retirarlos del estante y ubicarlos en una zona de cuarentena controlada. Esta medida previene la propagación del deterioro al resto del acervo bibliográfico, protegiendo la colección y garantizando la seguridad del usuario. | Revisar la posibilidad de incluir en el informe de gestión no solo el número de préstamos externos, sino también el número de devoluciones efectivas. Esto permite conciliar los datos, identificar oportunamente libros no retornados y fortalecer los controles del servicio. | Es importante documentar formalmente los resultados de las encuestas que definen los temas de los clubes de lectura, evitando el uso exclusivo de chats informales. Esto facilita el análisis de tendencias, asegura trazabilidad del proceso y mejora la planificación de futuras actividades. | Revisar la posibilidad de configurar el informe de morosos en el sistema Koha para que incluya la sede correspondiente. Esto permitirá realizar un filtrado efectivo de usuarios y facilitará una gestión local más eficiente, especialmente en la sede de Medellín. | Conviene asegurar que todo el personal conozca los resultados de los indicadores del proceso al que pertenece. Esto fortalece la apropiación de metas, facilita el análisis colaborativo de resultados y promueve la toma de decisiones participativa orientada a la mejora continua. | Revisar la posibilidad de permitir que cualquier colaborador pueda registrar directamente una salida no conforme en el sistema, sin depender únicamente del personal del sistema de gestión. Esto fomenta la autonomía, el sentido de pertenencia y el empoderamiento del equipo frente a la mejora continua.",,,"Es importante construir una matriz de control para el seguimiento sistemático de las quejas recibidas, incorporando campos como fecha de recepción, descripción, área responsable, estado de respuesta, fecha de cierre y cumplimiento de los Acuerdos de Nivel de Servicio (ANS). Esta herramienta facilita la trazabilidad y el análisis de las respuestas, fortalece la capacidad institucional para atender oportunamente las inquietudes de los usuarios y permite identificar tendencias que alimenten procesos de mejora continua. | Tener en cuenta la medición desagregada de indicadores por sede, esto les permitirá visualizar resultados diferenciados por ciudad, facilitando el análisis y la toma de decisiones más precisas para cada ubicación. | Revisar la posibilidad de incluir en el informe de gestión no solo el número de préstamos externos, sino también el número de devoluciones efectivas. Esto permite conciliar los datos, identificar oportunamente libros no retornados y fortalecer los controles del servicio. | Conviene asegurar que todo el personal conozca los resultados de los indicadores del proceso al que pertenece. Esto fortalece la apropiación de metas, facilita el análisis colaborativo de resultados y promueve la toma de decisiones participativa orientada a la mejora continua."
GESTIÓN DE RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN. CENTRO DE MEDIOS AUDIOVISUALES,,,,,,"Los talleres que se llevan a cabo con los estudiantes como parte de un ejercicio de entrenamiento en el uso de los equipos con el fin de reducir la probabilidad de daños por malas prácticas; esto permite mantener la infraestructura tecnológica de manera adecuada. | Las alianzas que tiene actualmente el proceso para la prestación del servicio, esto asegura el cumplimiento de los resultados previstos de manera satidfactoria de cara al cliente. | La infraestructura que tiene el proceso para la prestación de servicio; esto garantiza una oferta adecuada y actual para el desarrollo de las competencias de los estudiantes.","Continuar fortaleciendo las competencias del personal en gestión de riesgos, liberación de servicios, así como en salidas no conformes. | Mejorar la estandarización de las actividades relacionadas con la liberación de servicios y salidas no conformes, con el fin de asegurar su implementación adecuada teniendo en cuenta el carácter del proceso (misional).",,,
GESTIÓN DE RIESGOS,"La evolución del sistema general de riesgo de la Institución se ha fortalecido significativamente mediante la inclusión de una mesa de gestión de riesgo dedicada al análisis del perfil de riesgo institucional, representando un avance de un enfoque reactivo o meramente documental a una gestión de riesgos m ás dinámica y especializada, lo que le permite a la Institución desarrollar una comprensión mucho más profunda y granular de su exposición a riesgos en los niveles operativo y estratégico. | La elaboración del reporte de asesoría y revisión de riesgos, el cual detalla de manera clara el nivel de avance, los resultados alcanzados y las acciones sugeridas para el mejoramiento continuo del sistema y de los procesos institucionales, es una herramienta clave para fortalecer la cultura de gestión preventiva, ya que permite identificar oportunamente mejoras, tomar decisiones informadas y alinear la metodología institucional en los diferentes procesos.","El modelo de gestión de riesgo y sus resultados, de manera que el análisis prospectivo y colaborativo, conlleve no solo a los riesgos evidentes, sino también aquellos emergentes o interconectados que podrían pasar desapercibidos. Esto se traduce en una ges tión del riesgo más proactiva y eficaz, permitiendo a la Institución diseñar controles más pertinentes, asignar recursos de mitigación de manera más eficiente y construir una mayor resiliencia institucional frente a posibles adversidades, salvaguardando la continuidad del servicio y la consecución de sus objetivos estratégicos. | Es necesario perfeccionar la escala de valoración del riesgo residual, de manera que se aumente su precisión y acidez, lo que permitirá revisar los criterios y rangos actuales para hacerlos más sensibles a las variaciones en el nivel de riesgo, garantizando así una gestión del riesgo más precisa y proactiva. Esto facilitará una toma de decisiones más informada sobre la necesidad de implementar controles adicionales, reasignar recursos o aceptar conscientemente un determinado nivel de riesgo, optimizando así la asignación de recursos y fortaleciendo la resiliencia institucional frente a posibles eventos adversos. | Mejorar la distinción y comprensión clara entre ""riesgo"" e ""incumplimiento"" dentro del marco de la gestión del riesgo, específicamente en el contexto de la norma ISO 31000, con el fin de reconocer que el riesgo es la posibilidad de que ocurra un evento futuro incierto con impacto en los objetivos, mientras que el incumplimiento es una desviación de un requisito o expectativa, que puede ser consecuencia de un riesgo que no fue mitigado adecuadamente, esto permitirá optimizar la eficacia de la gestión del riesgo y asegurar una respuesta institucional apropiada. | Es importante revisar y fortalecer la formulación de los riesgos institucionales, de manera que estos estén efectivamente asociados a los objetivos definidos en el Plan de Desarrollo Institucional, con el fin de facilitar el control y seguimiento a su gestión, asegurando una articulación estratégica y reduciendo la probabilidad de materialización de eventos que puedan afectar el cumplimiento de las metas institucionales.",,,,,,,,
GESTIÓN DE TECNOLOGÍA E INNOVACIÓN DIGITAL,"La Institución ha llevado a cabo la construcción de un Plan Estratégico de Tecnologías de la Información (PETI), lo cual se constituye en valor agregado en la medida en que este documento es una hoja de ruta formal que define cómo la tecnología apoyará y p otenciará la visión, misión y objetivos generales de la organización a mediano y largo plazo, estableciendo las iniciativas, inversiones y recursos necesarios.","Es necesario priorizar y formalizar la gestión de la demanda en el marco del Plan Estratégico de Tecnologías de la Información (PETI), esto implica establecer procesos claros y robustos para la identificación, evaluación, priorización y planificación de las necesidades tecnológicas y de innovación de todas las áreas de la organización. Esta mejora es crucial para asegurar que las inversiones en tecnología estén perfectamente alineadas con las necesidades estratégicas y operativas más críticas de la Institución, maximizando así el valor generado y el retorno de la inversión. | El despliegue de objetivos estratégicos del PETI, de manera que se realice el detallado de tareas y capacidades dinámicas, para asegurar el cumplimiento de tiempos, la disponibilidad de recursos internos y externos, en pro del alcance de los objetivos propuestos. | El refinamiento de las categorías de estado de los proyectos TI, para que se determine con mayor precisión a qué hace referencia cada una, derivando las rutas a seguir en los casos de cancelación, aplazamiento o suspensión, entre otros. | La definición de contribuciones futuras y análisis de tendencias, como elementos fundamentales a incorporar en el PETI, con el fin de mapear de manera proactiva nuevas tecnologías y tendencias de innovación que puedan impactar la estrategia educativa, esto permitirá evaluar la capacidad de la organización para anticipar cambios tecnológicos y su impacto, asegurando que la estrategia de innovación digital sea prospectiva y no reactiva. | Es necesario incluir y formalizar criterios de accesibilidad tecnológica en todas las fases del diseño, desarrollo e implementación de las herramientas y plataformas digitales utilizadas en la Institución, esto implica asegurar que los recursos tecnológicos sean plenamente utilizables por personas con diversas capacidades y necesidades. Al integrar la accesibilidad tecnológica, la Institución elimina barreras para estudiantes, docentes y personal con discapacidades visuales, auditivas, cognitivas o motoras, permitiendo que todos accedan, interactúen y se beneficien plenamente de las herramientas digitales.",,,,,,,,
GESTIÓN DE UNIDADES ACADÉMICAS,,,,"La organización no ha implementado controles operacionales adecuados para asegurar el manejo seguro de productos químicos. Evidencia: Durante la visita al taller de cerámica, se evidenciaron las siguientes situaciones: • Las hojas de seguridad (MSDS) de los productos químicos utilizados se encuentran desactualizadas, con fechas superiores a 5 años: - Caolín: hoja del año 2017 - Silicato de aluminio: hoja del año 2006 • No se cuenta con un inventario de productos químicos, lo que impide conocer el tipo, cantidad y estado de los insumos utilizados, ni aplicar controles adecuados según su peligrosidad.",,,,,,
GESTIÓN DOCENTE,"El fortalecimiento de la planta docente, evidenciado por el notable aumento al 93% de profesores a tiempo completo y medio tiempo en el último quinquenio, se constituye en un cambio estratégico que garantiza un mayor compromiso y dedicación de los docentes, lo que se traduce en una mejor calidad de la enseñanza, un seguimiento más cercano a los estudiantes y una mayor capacidad para participar en actividades de investigación y desarrollo curricular, elevando el nivel académico de la Institución. | El avance de 213 a 83 estudiantes virtuales por profesor en el último quinquenio representa una fortaleza crucial para la calidad educativa. Esta significativa reducción de la relación alumno - docente permite una atención más personalizada, un mayor acompañamiento en el proceso de aprendizaje y una interacción más cercana entre estudiantes y profesores.","Asegurar el análisis de todos los componentes de la metodología 360, del informe institucional de evaluación docente, donde se refleje de manera integral la retroalimentación de pares, estudiantes y autoevaluación, para obtener una visión completa del desempeño docente; al no tener un análisis completo, la Institución podría pasar por alto áreas de oportunidad y desaprovechar oportunidades en cuanto al desarrollo profesional de los profesores. | Se recomienda establecer los límites de los resultados de la evaluación docente que se llevarán a revisión por la dirección, de manera que a través de la definición de un umbral claro se determine qué casos requieren una intervención de alto nivel. Además, es vital medir el impacto de la retroalimentación entregada al personal versus la mejora real de sus competencias. Al formalizar este proceso, se optimizará el tiempo de la dirección y se asegurará que la retroalimentación se traduzca en resultados tangibles.",,,"Es vital medir el impacto de la retroalimentación entregada al personal versus la mejora real de sus competencias. Al formalizar este proceso, se optimizará el tiempo de la dirección y se asegurará que la retroalimentación se traduzca en resultados tangibles.",,,,,
GESTIÓN FINANCIERA,"Se destaca el incremento sostenido de los ingresos año a año como un reflejo positivo del desempeño institucional en materia de planificación financiera. Los valores reportados muestran una tendencia de crecimiento: $273.763 en 2023, $297.867 en 2024 y un presupuesto proyectado de $309.305 para 2025, lo cual evidencia una gestión financiera estable y orientada al fortalecimiento de la sostenibilidad económica de la organización. Este comportamiento respalda el cumplimiento del objetivo relacionado con la pl aneación financiera y refuerza la capacidad de la Institución para proyectar y gestionar sus recursos de manera efectiva. | Se resalta que el 92% de los ingresos institucionales se recibe de contado, mientras que solo el 8% corresponde a financiamiento, principalmente gestionado a través de convenios empresariales. Esta distribución evidencia una cartera sana, con bajo nivel de riesgo asociado a cuentas por cobrar, lo cual contribuye positivamente a la liquidez, estabilidad financiera y capacidad operativa de la Institución.",,,,"Revisar y clarificar la clasificación de los indicadores registrados en la plataforma Kawak, diferenciando de manera precisa cuáles corresponden a indicadores de seguimiento y control, y cuáles a indicadores de desempeño, con el fin de asegurar su adecuada alineación con los objetivos definidos para el proceso, facilitar el análisis de resultados, y mejorar la efectividad en la toma de decisiones basada en el cumplimiento de metas estratégicas y operativas.","La planificación del proceso la cual permite contar con un estándar adecuado para determinar, proporcionar y hacer seguimiento a los recursos necesarios para el mantenimiento y la mejora del sistema de gestión.",,,,
GESTIÓN JURIDICA Y NORMATIVA,"La adopción proactiva de las recomendaciones de auditorías anteriores en los procesos disciplinarios, ya que se evidencia trazabilidad en la gestión de estos casos, demostrando un compromiso con la mejora continua y el cumplimiento normativo. Esta práctica no solo fortalece la transparencia y la confianza en la gestión jurídica, sino que también minimiza los riesgos legales y operativos.","Fortalecer el proceso de identificación de requisitos normativos incluyendo Normas Técnicas Colombianas (NTC) que sean relevantes para las operaciones de la Institución, con lo cual se contará información que contribuirá a reforzar los controles establecidos en los sistemas de gestión, mejorar el cumplimiento voluntario y anticipar riesgos asociados a estándares técnicos. | Se recomienda que en el normograma institucional se identifique explícitamente a qué sistema o sistemas de gestión (calidad, ambiental, SST, seguridad vial, entre otros) se asocia cada requisito legal, manteniendo la trazabilidad del proceso responsable de su implementación y aseguramiento del cumplimiento, esto contribuirá a mejorar la trazabilidad y control del cumplimiento normativo, alineando responsabilidades y optimizando la gestión de los sistemas. Asimismo, es importante formalizar los lineamientos y que el proceso asuma la responsabilidad de mantener actualizada esta información ya que esto contribuirá a mejorar la trazabilidad y control del cumplimiento normativo, alineando responsabilidades y optimizando la gestión de los sistemas. | Implementar una estrategia de alertas ante el incumplimiento de los niveles de servicio, por parte de los usuarios que solicitan contratos o del propio proceso, es esencial para identificar con claridad el riesgo y el impacto que generan estos retrasos. Al medir y valorar dicho impacto, la Institución podrá optimizar el uso de sus recursos, aumentar la eficiencia del servicio y, a la vez, sensibilizar a los usuarios sobre la importancia de cumplir con los plazos establecidos. | Adicionalmente, efectuar la depuración de los contratos en la herramienta para facilitar el seguimiento, garantizar información actualizada y apoyar la toma de decisiones para prevenir acumulación o reprocesos. Es importante evitar el uso de mecanismos de control alternos fuera de la herramienta de contratos, ya que esto podría generar duplicidad de información, pérdida de trazabilidad y disminución en la eficiencia del proceso.",,,"Implementar una estrategia de alertas ante el incumplimiento de los niveles de servicio, por parte de los usuarios que solicitan contratos o del propio proceso, es esencial para identificar con claridad el riesgo y el impacto que generan estos retrasos. Al medir y valorar dicho impacto, la Institución podrá optimizar el uso de sus recursos, aumentar la eficiencia del servicio y, a la vez, sensibilizar a los usuarios sobre la importancia de cumplir con los plazos establecidos.",,,,,
GESTIÓN SST,,,,,,"La alianza realizada con terceros para apoyar la verificación de cumplimiento de requisitos legales en materia de SST, esto permite conocer el estado de este importante componente del sistema de gestión.","Fortalecer los métodos con los que cuenta la organización para identificar oportunidades para la SST, teniendo en cuenta la definición de este concepto en la ISO 45001:2018. | Fortalecer la competencia del personal en relación con ISO 45001:2018, haciendo especial énfasis en conceptos como identificación de peligros y riesgos (6.1.2.1), identificación de oportunidades para la SST (6.1.2.3), entre otros; esto permitirá robustecer la planificación del sistema de gestión de la SST. | Agilizar los procesos a través de los cuales se establecen planes de acción para dar cumplimiento a los requisitos legales. | Fortalecer el método de identificación de peligros y riesgos de la SST, teniendo en cuenta que desde la ISO 45001:2018, se contemplan diferentes escenarios para esta actividad.",,"NC 4 de 5: ISO 14001:2015. 8.1 a). ISO 45001:2015. 8.1.1 b). La organización no implementa el control de los procesos de acuerdo con los criterios. Evidencia: Se evidencia hoja de seguridad vencida para el almacenamiento de ACPM en la planta de respaldo de City Campus. | Durante el recorrido realizado en la sede City Campus se evidencian dos contenedores con sustancia de color oscuro desconocida y sin el etiquetado correspondiente, derivada de las actividades de mantenimiento de la planta de tratamiento de aguas lluvia.",
GESTIÓN SST SEDE MEDELLÍN,,,,,,"El compromiso institucional del politécnico con el fortalecimiento de las competencias de sus trabajadores en respuesta a posibles emergencias, el cual ha permitido la participación activa del personal y el aprendizaje práctico en escenarios reales de formación. | La realización de la actividad “Celebración por la vida” en el marco del Día Mundial de la Salud Mental, desarrollada el 21 de octubre de 2025 en la sede Medellín, jornada que promovió la reflexión sobre la importancia del bienestar emocional, el cual ha permitido reflexionar sobre el cuidado integral y la participación activa de la comunidad educativa del politécnico. | La aplicación de las metodologías reconocidas como lo son la GTC 45, la NTP 330 y la metodología SURA como bases técnicas para la construcción y actualización de la matriz de peligros y riesgos en la sede Los Colores – Medellín, el cual ha permitido demostrar la aplicabilidad técnica y las actividades de la gestión sistemática del riesgo laboral en el politécnico.","Reforzar el programa de capacitación y sensibilización en SST, fortaleciendo los temas de competencia y toma de conciencia con el propósito de tener una mejor gestión en el manejo de residuos sólidos, Manipulación segura de químicos, Prevención de caídas y uso de las escaleras.",,,
GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,"La implementación de Polímero como herramienta de gestión de la selección y contratación, reduce el error humano, mejora los tiempos de respuesta y ofrece una trazabilidad completa de cada etapa. Al tener un registro digital y centralizado, se garantiza la transparencia y el seguimiento de cada candidato, lo cual asegura una toma de decisiones más precisa y eficiente. | El enfoque proactivo en la reinducción institucional, debido a que pas ó de ser un evento único, a transformarse en un proceso continuo que se adapta a los cambios y progresos de la organización. Al dividir el contenido en bloques de trabajo a lo largo del mes, se asegura que la información sea digerible y relevante, lo que permite a los colaboradores mantenerse actualizados y alineados con las directrices institucionales de manera efectiva. | La formalización y la integración conjunta del periodo de prueba y entrenamiento al cargo, abordándolo desde estrategias estructuradas como la mentoría, el reconocimiento del lugar de trabajo, la descripción clara del cargo y la formación y desarrollo, asegura que los nuevos colaboradores no solo se adapten, sino que también desarrollen las competencias necesarias para el éxito en su rol, este enfoque holístico minimiza la incertidumbre y maximiza el potencial de cada nuevo miembro del equipo desde el inicio de su vinculación. | La incorporación del plan On -boarding, como mapa de ruta estratégico para las primeras 12 semanas de adaptación a la Institución, provee una guía clara, que permite asegurar la curva de aprendizaje acelerada y estructurada para los nuevos empleados, aumenta la eficiencia del proceso de incorporación, fomenta un sentido de pertenencia y compromiso y asegura que los colabor adores alcancen su máximo rendimiento en el menor tiempo posible. | El desarrollo de nanocursos sobre competencias blandas, permite generar estrategias innovadoras que amplían el espectro de acción del proceso de desarrollo de talento. Al ofrecer cápsulas de aprendizaje cortas y focalizadas, se fomenta la autogestión y la autonomía de los empleados, lo que les permite a los trabajadores autogestionar su crecimiento profesional, lo que se traduce en una fuerza laboral más adaptable, resiliente y preparada para los desafíos del entorno laboral. | Los niveles de uso y satisfacción de los beneficios laborales evidencian una adopción exitosa y favorable de las iniciativas de la organización, demostrando que los programas de bienestar y compensación están bien diseñados y resuenan genuinamente con las necesidades y expectativas de los empleados. | La mejora sostenida en los resultados de GPTW, con un incremento notable de 61.7% a 81% en un trienio, es una tendencia creciente que valida los esfuerzos de la organización por construir un ambiente laboral positivo y demuestra el impacto tangible de sus estrategias de gestión de talento, dichos resultados son un indicador claro de que las políticas y la cultura interna están generando un entorno de trabajo que inspira confianza, compañerismo y orgullo entre los colaboradores.","La definición de perfiles de cargo dinámicos para la gestión del talento humano, con el objetivo de establecer dentro de los procedimientos y políticas de la organización, un sistema escalonado y flexible para la construcción y desarrollo de la carrera den tro de la Institución, así como para la promoción y el ascenso del personal. Esto implica la creación de un modelo que permita la adaptación continua de los perfiles de cargo a las necesidades cambiantes de la Institución y del mercado, así como a las comp etencias y habilidades requeridas en cada momento. | En relación con el portafolio de beneficios, conviene revisar la descripción de beneficios, cálculo de inversión y criterios de análisis de necesidades asociadas a bienestar, considerando la variable generacional. Teniendo en cuenta las diferentes expectativas y preferencias de las distintas generaciones (por ejemplo, Millennials, Generación X, etc.), la Institución podrá diseñar un portafolio más relevante y atractivo, lo que aumentará la satisfacción y el compromiso de los empleados.",,,"Es conveniente revisar la evaluación de eficacia de las acciones tomadas, para afinar su enfoque y asegurar que se mida con mayor precisión el impacto de la formación. Es necesario establecer indicadores que demuestren si los objetivos de aprendizaje se tr adujeron en mejoras de desempeño tangibles. Al alinear la medición con la necesidad inicial, la Institución podrá optimizar su inversión en capacitación y garantizar que cada programa genere un retorno significativo en el desarrollo de competencias.","La estrategia “ADN” (atraer, desarrollar y naturalizar), esto asegura el ofrecimiento de condiciones laborales adecuadas para los colaboradores de la organización. | La implementación de la plataforma Polimero, esta facilita la trazabilidad de los perfiles de cargo a través de una ubicación oportuna. | Los indicadores que miden el desempeño del proceso, estos contienen diferentes variables las cuales permiten conocer no solo la eficacia, sino también el impacto de las actividades del proceso en la operación de la organización.","Continuar con la implementación del reto relacionado con la formalización de la verificación del cumplimiento de las responsabilidades de cada cargo en el marco de la evaluación de desempeño; esto permitirá conocer de manera estandarizada información clave para la toma de decisiones en relación con el fortalecimiento del talento humano de la organización. | Fortalecer la plataforma Polímero, con el fin de hacer explícito el momento en el cual se comunica el perfil del cargo al colaborador, esto facilitará la trazabilidad de esta información.",,,"Continuar con la implementación del reto relacionado con la formalización de la verificación del cumplimiento de las responsabilidades de cada cargo en el marco de la evaluación de desempeño; esto permitirá conocer de manera estandarizada información clave para la toma de decisiones en relación con el fortalecimiento del talento humano de la organización. | Los indicadores que miden el desempeño del proceso, estos contienen diferentes variables las cuales permiten conocer no solo la eficacia, sino también el impacto de las actividades del proceso en la operación de la organización."
